"Hour", kWh, kvarh, "Peak kW", "peak kVA", "Losses kWh", "Losses kvarh", "Peak Losses kW"
û¶@, 1906.50340928311, 612.096240051579, 1907.21308145032, 2002.35288016209, 31.7082150788687, 91.1013797122845, 31.7082150788687
, 1084.44480721306, 74.7019627049371, 1907.21308145032, 2002.35288016209, 10.6673759998693, 29.472103265606, 31.7082150788687
¢¶@, 1906.50340928311, 612.096240051579, 1907.21308145032, 2002.35288016209, 31.7082150788687, 91.1013797122845, 31.7082150788687
§¶@, 1084.44480721306, 74.7019627049371, 1907.21308145032, 2002.35288016209, 10.6673759998693, 29.472103265606, 31.7082150788687
¶¶@, 1906.50340928311, 612.096240051579, 1907.21308145032, 2002.35288016209, 31.7082150788687, 91.1013797122845, 31.7082150788687
®¶@, 1084.44480721306, 74.7019627049371, 1907.21308145032, 2002.35288016209, 10.6673759998693, 29.472103265606, 31.7082150788687
™¶@, 1906.50340928311, 612.096240051579, 1907.21308145032, 2002.35288016209, 31.7082150788687, 91.1013797122845, 31.7082150788687
¨¶@, 1084.44480721306, 74.7019627049371, 1907.21308145032, 2002.35288016209, 10.6673759998693, 29.472103265606, 31.7082150788687
Æ¶@, 1906.50340928311, 612.096240051579, 1907.21308145032, 2002.35288016209, 31.7082150788687, 91.1013797122845, 31.7082150788687
∞¶@, 1084.44480721306, 74.7019627049371, 1907.21308145032, 2002.35288016209, 10.6673759998693, 29.472103265606, 31.7082150788687
≤¶@, 1906.50340928311, 612.096240051579, 1907.21308145032, 2002.35288016209, 31.7082150788687, 91.1013797122845, 31.7082150788687
¥¶@, 1084.44480721306, 74.7019627049371, 1907.21308145032, 2002.35288016209, 10.6673759998693, 29.472103265606, 31.7082150788687
∂¶@, 1906.50340928311, 612.096240051579, 1907.21308145032, 2002.35288016209, 31.7082150788687, 91.1013797122845, 31.7082150788687
∏¶@, 1084.44480721306, 74.7019627049371, 1907.21308145032, 2002.35288016209, 10.6673759998693, 29.472103265606, 31.7082150788687
∫¶@, 1906.50340928311, 612.096240051579, 1907.21308145032, 2002.35288016209, 31.7082150788687, 91.1013797122845, 31.7082150788687
º¶@, 1084.44480721306, 74.7019627049371, 1907.21308145032, 2002.35288016209, 10.6673759998693, 29.472103265606, 31.7082150788687
æ¶@, 1906.50340928311, 612.096240051579, 1907.21308145032, 2002.35288016209, 31.7082150788687, 91.1013797122845, 31.7082150788687
¿¶@, 1084.44480721306, 74.7019627049371, 1907.21308145032, 2002.35288016209, 10.6673759998693, 29.472103265606, 31.7082150788687
¬¶@, 1906.50340928311, 612.096240051579, 1907.21308145032, 2002.35288016209, 31.7082150788687, 91.1013797122845, 31.7082150788687
ƒ¶@, 1084.44480721306, 74.7019627049371, 1907.21308145032, 2002.35288016209, 10.6673759998693, 29.472103265606, 31.7082150788687
∆¶@, 1906.50340928311, 612.096240051579, 1907.21308145032, 2002.35288016209, 31.7082150788687, 91.1013797122845, 31.7082150788687
»¶@, 1084.44480721306, 74.7019627049371, 1907.21308145032, 2002.35288016209, 10.6673759998693, 29.472103265606, 31.7082150788687
 ¶@, 1906.50340928311, 612.096240051579, 1907.21308145032, 2002.35288016209, 31.7082150788687, 91.1013797122845, 31.7082150788687
Ã¶@, 1084.44480721306, 74.7019627049371, 1907.21308145032, 2002.35288016209, 10.6673759998693, 29.472103265606, 31.7082150788687
Œ¶@, 1906.50340928311, 612.096240051579, 1907.21308145032, 2002.35288016209, 31.7082150788687, 91.1013797122845, 31.7082150788687
–¶@, 1084.44480721306, 74.7019627049371, 1907.21308145032, 2002.35288016209, 10.6673759998693, 29.472103265606, 31.7082150788687
“¶@, 1906.50340928311, 612.096240051579, 1907.21308145032, 2002.35288016209, 31.7082150788687, 91.1013797122845, 31.7082150788687
‘¶@, 1084.44480721306, 74.7019627049371, 1907.21308145032, 2002.35288016209, 10.6673759998693, 29.472103265606, 31.7082150788687
÷¶@, 1906.50340928311, 612.096240051579, 1907.21308145032, 2002.35288016209, 31.7082150788687, 91.1013797122845, 31.7082150788687
ÿ¶@, 1084.44480721306, 74.7019627049371, 1907.21308145032, 2002.35288016209, 10.6673759998693, 29.472103265606, 31.7082150788687
⁄¶@, 1906.50340928311, 612.096240051579, 1907.21308145032, 2002.35288016209, 31.7082150788687, 91.1013797122845, 31.7082150788687
‹¶@, 1084.44480721306, 74.7019627049371, 1907.21308145032, 2002.35288016209, 10.6673759998693, 29.472103265606, 31.7082150788687
ﬁ¶@, 1906.50340928311, 612.096240051579, 1907.21308145032, 2002.35288016209, 31.7082150788687, 91.1013797122845, 31.7082150788687
‡¶@, 1084.44480721306, 74.7019627049371, 1907.21308145032, 2002.35288016209, 10.6673759998693, 29.472103265606, 31.7082150788687
‚¶@, 1906.50340928311, 612.096240051579, 1907.21308145032, 2002.35288016209, 31.7082150788687, 91.1013797122845, 31.7082150788687
‰¶@, 1084.44480721306, 74.7019627049371, 1907.21308145032, 2002.35288016209, 10.6673759998693, 29.472103265606, 31.7082150788687
Ê¶@, 1906.50340928311, 612.096240051579, 1907.21308145032, 2002.35288016209, 31.7082150788687, 91.1013797122845, 31.7082150788687
Ë¶@, 1084.44480721306, 74.7019627049371, 1907.21308145032, 2002.35288016209, 10.6673759998693, 29.472103265606, 31.7082150788687
Í¶@, 1906.50340928311, 612.096240051579, 1907.21308145032, 2002.35288016209, 31.7082150788687, 91.1013797122845, 31.7082150788687
Ï¶@, 1084.44480721306, 74.7019627049371, 1907.21308145032, 2002.35288016209, 10.6673759998693, 29.472103265606, 31.7082150788687
Ó¶@, 1906.50340928311, 612.096240051579, 1907.21308145032, 2002.35288016209, 31.7082150788687, 91.1013797122845, 31.7082150788687
¶@, 1084.44480721306, 74.7019627049371, 1907.21308145032, 2002.35288016209, 10.6673759998693, 29.472103265606, 31.7082150788687
Ú¶@, 1906.50340928311, 612.096240051579, 1907.21308145032, 2002.35288016209, 31.7082150788687, 91.1013797122845, 31.7082150788687
Ù¶@, 1084.44480721306, 74.7019627049371, 1907.21308145032, 2002.35288016209, 10.6673759998693, 29.472103265606, 31.7082150788687
