,0
2016-06-01 12:02:48-07:00,17759777.553784344
2016-06-01 12:02:49-07:00,17736663.02573529
2016-06-01 12:02:50-07:00,17722862.15048841
2016-06-01 12:02:51-07:00,17739533.84531981
2016-06-01 12:02:52-07:00,17735442.049696483
2016-06-01 12:02:53-07:00,17745978.95881917
2016-06-01 12:02:54-07:00,17738007.986493766
2016-06-01 12:02:55-07:00,17733387.190782465
2016-06-01 12:02:56-07:00,17736401.13708579
2016-06-01 12:02:57-07:00,17740233.246893395
2016-06-01 12:02:58-07:00,17728420.8466007
2016-06-01 12:02:59-07:00,17738632.25022068
2016-06-01 12:03:00-07:00,17716277.25961954
2016-06-01 12:03:01-07:00,17728178.024271976
2016-06-01 12:03:02-07:00,17713429.336659182
2016-06-01 12:03:03-07:00,17708127.20345169
2016-06-01 12:03:04-07:00,17704605.860847197
2016-06-01 12:03:05-07:00,17700354.96963147
2016-06-01 12:03:06-07:00,17696352.526945807
2016-06-01 12:03:07-07:00,17685287.942628857
2016-06-01 12:03:08-07:00,17719748.700611737
2016-06-01 12:03:09-07:00,17716019.93156653
2016-06-01 12:03:10-07:00,17723482.628050625
2016-06-01 12:03:11-07:00,17747861.205803473
2016-06-01 12:03:12-07:00,17746140.332497813
2016-06-01 12:03:13-07:00,17749212.023413025
2016-06-01 12:03:14-07:00,17761349.165267177
2016-06-01 12:03:15-07:00,17769432.658404104
2016-06-01 12:03:16-07:00,17764541.410401188
2016-06-01 12:03:17-07:00,17768841.78729022
2016-06-01 12:03:18-07:00,17772342.34699408
2016-06-01 12:03:19-07:00,17792827.112128325
2016-06-01 12:03:20-07:00,17810969.83190526
2016-06-01 12:03:21-07:00,17822519.17935323
2016-06-01 12:03:22-07:00,17828229.31493513
2016-06-01 12:03:23-07:00,17806222.16002394
2016-06-01 12:03:24-07:00,17832114.38297875
2016-06-01 12:03:25-07:00,17838983.961048182
2016-06-01 12:03:26-07:00,17839313.31661577
2016-06-01 12:03:27-07:00,17849753.45408888
2016-06-01 12:03:28-07:00,17865786.520026553
2016-06-01 12:03:29-07:00,17891401.241865583
2016-06-01 12:03:30-07:00,17923276.79425318
2016-06-01 12:03:31-07:00,17898062.918935835
2016-06-01 12:03:32-07:00,17922380.32929264
2016-06-01 12:03:33-07:00,17921109.434415773
2016-06-01 12:03:34-07:00,17941523.91606722
2016-06-01 12:03:35-07:00,17933171.426796496
2016-06-01 12:03:36-07:00,17928577.876620434
2016-06-01 12:03:37-07:00,17923863.451840326
2016-06-01 12:03:38-07:00,17922872.200423907
2016-06-01 12:03:39-07:00,17914198.187205356
2016-06-01 12:03:40-07:00,17910011.582018137
2016-06-01 12:03:41-07:00,17896045.331003416
2016-06-01 12:03:42-07:00,17899300.62429683
2016-06-01 12:03:43-07:00,17875801.242753413
2016-06-01 12:03:44-07:00,17881487.02224596
2016-06-01 12:03:45-07:00,17892636.489591926
2016-06-01 12:03:46-07:00,17872769.659267046
2016-06-01 12:03:47-07:00,17868333.87656069
2016-06-01 12:03:48-07:00,17861300.395492554
2016-06-01 12:03:49-07:00,17869541.3702948
2016-06-01 12:03:50-07:00,17871761.571504295
2016-06-01 12:03:51-07:00,17865427.394862067
2016-06-01 12:03:52-07:00,17872440.235036414
2016-06-01 12:03:53-07:00,17882417.216519948
2016-06-01 12:03:54-07:00,17888671.537943006
2016-06-01 12:03:55-07:00,17885220.078658015
2016-06-01 12:03:56-07:00,17899235.305075828
2016-06-01 12:03:57-07:00,17897242.239559405
2016-06-01 12:03:58-07:00,17874541.562951963
2016-06-01 12:03:59-07:00,17884663.52773284
2016-06-01 12:04:00-07:00,17884470.913039327
2016-06-01 12:04:01-07:00,17882851.64870307
2016-06-01 12:04:02-07:00,17882373.183861446
2016-06-01 12:04:03-07:00,17894947.781286996
2016-06-01 12:04:04-07:00,17902625.77736408
2016-06-01 12:04:05-07:00,17912372.884670697
2016-06-01 12:04:06-07:00,17942466.591944996
2016-06-01 12:04:07-07:00,17934465.441223145
2016-06-01 12:04:08-07:00,17936834.04818441
2016-06-01 12:04:09-07:00,17930727.410282534
2016-06-01 12:04:10-07:00,17921956.59718177
2016-06-01 12:04:11-07:00,17943279.481542077
2016-06-01 12:04:12-07:00,17954787.487852335
2016-06-01 12:04:13-07:00,17956273.2640164
2016-06-01 12:04:14-07:00,17938104.618793134
2016-06-01 12:04:15-07:00,17919727.232511185
2016-06-01 12:04:16-07:00,17908510.764894
2016-06-01 12:04:17-07:00,17919123.848621212
2016-06-01 12:04:18-07:00,17918601.037520755
2016-06-01 12:04:19-07:00,17899436.298332606
2016-06-01 12:04:20-07:00,17891515.93133381
2016-06-01 12:04:21-07:00,17891709.880102903
2016-06-01 12:04:22-07:00,17880763.28989796
2016-06-01 12:04:23-07:00,17863348.085245177
2016-06-01 12:04:24-07:00,17872199.191447526
2016-06-01 12:04:25-07:00,17852643.80443383
2016-06-01 12:04:26-07:00,17843058.34350042
2016-06-01 12:04:27-07:00,17846850.960753534
2016-06-01 12:04:28-07:00,17854089.442196317
2016-06-01 12:04:29-07:00,17861818.494652975
2016-06-01 12:04:30-07:00,17856996.69141538
2016-06-01 12:04:31-07:00,17861868.896190114
2016-06-01 12:04:32-07:00,17843395.981606133
2016-06-01 12:04:33-07:00,17846834.137126014
2016-06-01 12:04:34-07:00,17836911.15420985
2016-06-01 12:04:35-07:00,17844369.408392526
2016-06-01 12:04:36-07:00,17832356.244057473
2016-06-01 12:04:37-07:00,17819465.34007151
2016-06-01 12:04:38-07:00,17820198.438675396
2016-06-01 12:04:39-07:00,17809065.685117397
2016-06-01 12:04:40-07:00,17840781.9360237
2016-06-01 12:04:41-07:00,17852881.382958587
2016-06-01 12:04:42-07:00,17844064.240783066
2016-06-01 12:04:43-07:00,17834093.43386373
2016-06-01 12:04:44-07:00,17847857.186391667
2016-06-01 12:04:45-07:00,17841691.0244067
2016-06-01 12:04:46-07:00,17844153.43870755
2016-06-01 12:04:47-07:00,17859354.801626485
2016-06-01 12:04:48-07:00,17847452.503981676
2016-06-01 12:04:49-07:00,17856945.01999304
2016-06-01 12:04:50-07:00,17861746.400319334
2016-06-01 12:04:51-07:00,17879749.646738667
2016-06-01 12:04:52-07:00,17885430.44410611
2016-06-01 12:04:53-07:00,17893048.29282025
2016-06-01 12:04:54-07:00,17874878.075031713
2016-06-01 12:04:55-07:00,17880467.142155193
2016-06-01 12:04:56-07:00,17881458.23917257
2016-06-01 12:04:57-07:00,17889178.46201854
2016-06-01 12:04:58-07:00,17882060.233135305
2016-06-01 12:04:59-07:00,17852270.756099533
2016-06-01 12:05:00-07:00,17856585.47608858
2016-06-01 12:05:01-07:00,17847761.328376234
2016-06-01 12:05:02-07:00,17826704.230982
2016-06-01 12:05:03-07:00,17817265.76024209
2016-06-01 12:05:04-07:00,17812508.205896456
2016-06-01 12:05:05-07:00,17808063.255019166
2016-06-01 12:05:06-07:00,17812195.21559485
2016-06-01 12:05:07-07:00,17811684.523939636
2016-06-01 12:05:08-07:00,17821425.831146196
2016-06-01 12:05:09-07:00,17834312.220724337
2016-06-01 12:05:10-07:00,17849240.698584653
2016-06-01 12:05:11-07:00,17846042.783303514
2016-06-01 12:05:12-07:00,17825889.740234453
2016-06-01 12:05:13-07:00,17832152.801139757
2016-06-01 12:05:14-07:00,17850619.482413474
2016-06-01 12:05:15-07:00,17892973.117252976
2016-06-01 12:05:16-07:00,17902586.386163257
2016-06-01 12:05:17-07:00,17888034.320772942
2016-06-01 12:05:18-07:00,17890060.4591272
2016-06-01 12:05:19-07:00,17898555.744151
2016-06-01 12:05:20-07:00,17881236.256576914
2016-06-01 12:05:21-07:00,17878148.32381807
2016-06-01 12:05:22-07:00,17872833.234562047
2016-06-01 12:05:23-07:00,17866995.17703918
2016-06-01 12:05:24-07:00,17854355.775846545
2016-06-01 12:05:25-07:00,17836840.856826007
2016-06-01 12:05:26-07:00,17845687.27027469
2016-06-01 12:05:27-07:00,17866552.02301233
2016-06-01 12:05:28-07:00,17885849.557166092
2016-06-01 12:05:29-07:00,17889509.374254614
2016-06-01 12:05:30-07:00,17904718.96454731
2016-06-01 12:05:31-07:00,17914592.019898657
2016-06-01 12:05:32-07:00,17908571.309495613
2016-06-01 12:05:33-07:00,17910406.84100378
2016-06-01 12:05:34-07:00,17902241.503641378
2016-06-01 12:05:35-07:00,17908495.685164515
2016-06-01 12:05:36-07:00,17937324.321099393
2016-06-01 12:05:37-07:00,17928635.853896644
2016-06-01 12:05:38-07:00,17943994.27193614
2016-06-01 12:05:39-07:00,17933419.626132526
2016-06-01 12:05:40-07:00,17950868.6031466
2016-06-01 12:05:41-07:00,17951800.736810476
2016-06-01 12:05:42-07:00,17961669.702138845
2016-06-01 12:05:43-07:00,17950540.443436675
2016-06-01 12:05:44-07:00,17933357.356650144
2016-06-01 12:05:45-07:00,17947509.80502163
2016-06-01 12:05:46-07:00,17933355.550259322
2016-06-01 12:05:47-07:00,17941456.72346252
2016-06-01 12:05:48-07:00,17953642.407765485
2016-06-01 12:05:49-07:00,17949961.33594481
2016-06-01 12:05:50-07:00,17942838.328906752
2016-06-01 12:05:51-07:00,17943319.828004327
2016-06-01 12:05:52-07:00,17944306.433462266
2016-06-01 12:05:53-07:00,17941774.280890875
2016-06-01 12:05:54-07:00,17916076.822344113
2016-06-01 12:05:55-07:00,17914295.365697782
2016-06-01 12:05:56-07:00,17916333.842062425
2016-06-01 12:05:57-07:00,17913872.389312983
2016-06-01 12:05:58-07:00,17920613.884491507
2016-06-01 12:05:59-07:00,17917211.372044876
2016-06-01 12:06:00-07:00,17923081.4895451
2016-06-01 12:06:01-07:00,17925872.609334804
2016-06-01 12:06:02-07:00,17918804.409874365
2016-06-01 12:06:03-07:00,17902338.87601902
2016-06-01 12:06:04-07:00,17903684.92447028
2016-06-01 12:06:05-07:00,17885128.66310836
2016-06-01 12:06:06-07:00,17886489.391795803
2016-06-01 12:06:07-07:00,17888422.356463987
2016-06-01 12:06:08-07:00,17877844.084400844
2016-06-01 12:06:09-07:00,17881657.528558914
2016-06-01 12:06:10-07:00,17866030.43760253
2016-06-01 12:06:11-07:00,17882767.09234224
2016-06-01 12:06:12-07:00,17857647.272354305
2016-06-01 12:06:13-07:00,17848987.435815126
2016-06-01 12:06:14-07:00,17846528.939881153
2016-06-01 12:06:15-07:00,17878357.624860235
2016-06-01 12:06:16-07:00,17889331.572242778
2016-06-01 12:06:17-07:00,17896358.891538147
2016-06-01 12:06:18-07:00,17886718.179085996
2016-06-01 12:06:19-07:00,17877249.731146283
2016-06-01 12:06:20-07:00,17868459.05302654
2016-06-01 12:06:21-07:00,17855396.976571996
2016-06-01 12:06:22-07:00,17881847.99264057
2016-06-01 12:06:23-07:00,17870711.012521867
2016-06-01 12:06:24-07:00,17878371.470811162
2016-06-01 12:06:25-07:00,17887952.961402204
2016-06-01 12:06:26-07:00,17863656.42702211
2016-06-01 12:06:27-07:00,17864512.594070934
2016-06-01 12:06:28-07:00,17856529.191401623
2016-06-01 12:06:29-07:00,17866143.916877527
2016-06-01 12:06:30-07:00,17866219.210783534
2016-06-01 12:06:31-07:00,17880345.83161461
2016-06-01 12:06:32-07:00,17884840.930251293
2016-06-01 12:06:33-07:00,17902836.840813793
2016-06-01 12:06:34-07:00,17903891.54604148
2016-06-01 12:06:35-07:00,17901166.06406091
2016-06-01 12:06:36-07:00,17894722.73317844
2016-06-01 12:06:37-07:00,17881030.10569615
2016-06-01 12:06:38-07:00,17864663.27777509
2016-06-01 12:06:39-07:00,17849810.10752015
2016-06-01 12:06:40-07:00,17847725.828689076
2016-06-01 12:06:41-07:00,17841716.810811225
2016-06-01 12:06:42-07:00,17848005.744674865
2016-06-01 12:06:43-07:00,17847760.613692246
2016-06-01 12:06:44-07:00,17862456.917735387
2016-06-01 12:06:45-07:00,17873891.13264744
2016-06-01 12:06:46-07:00,17860529.02210896
2016-06-01 12:06:47-07:00,17856467.8119903
2016-06-01 12:06:48-07:00,17860486.604858864
2016-06-01 12:06:49-07:00,17864969.3098317
2016-06-01 12:06:50-07:00,17868963.602649406
2016-06-01 12:06:51-07:00,17890471.573336113
2016-06-01 12:06:52-07:00,17878108.5187803
2016-06-01 12:06:53-07:00,17861476.713852074
2016-06-01 12:06:54-07:00,17853988.067006055
2016-06-01 12:06:55-07:00,17860007.431830578
2016-06-01 12:06:56-07:00,17841811.47756787
2016-06-01 12:06:57-07:00,17855183.89698261
2016-06-01 12:06:58-07:00,17846013.147484396
2016-06-01 12:06:59-07:00,17861898.01385624
2016-06-01 12:07:00-07:00,17871948.609612018
2016-06-01 12:07:01-07:00,17859927.646501835
2016-06-01 12:07:02-07:00,17856472.841788802
2016-06-01 12:07:03-07:00,17842712.160692837
2016-06-01 12:07:04-07:00,17862246.161919653
2016-06-01 12:07:05-07:00,17865173.412856515
2016-06-01 12:07:06-07:00,17855695.08128428
2016-06-01 12:07:07-07:00,17855316.998992834
2016-06-01 12:07:08-07:00,17864915.67661985
2016-06-01 12:07:09-07:00,17882546.650507305
2016-06-01 12:07:10-07:00,17877648.639577575
2016-06-01 12:07:11-07:00,17883647.052177407
2016-06-01 12:07:12-07:00,17884253.557180967
2016-06-01 12:07:13-07:00,17892724.950330585
2016-06-01 12:07:14-07:00,17907326.01992651
2016-06-01 12:07:15-07:00,17914341.921761476
2016-06-01 12:07:16-07:00,17926699.780225724
2016-06-01 12:07:17-07:00,17919959.811547846
2016-06-01 12:07:18-07:00,17913487.381320804
2016-06-01 12:07:19-07:00,17888867.4747871
2016-06-01 12:07:20-07:00,17870489.851066202
2016-06-01 12:07:21-07:00,17856219.48107855
2016-06-01 12:07:22-07:00,17852971.291410964
2016-06-01 12:07:23-07:00,17877754.867268737
2016-06-01 12:07:24-07:00,17851726.929329004
2016-06-01 12:07:25-07:00,17853292.74383879
2016-06-01 12:07:26-07:00,17851654.19875308
2016-06-01 12:07:27-07:00,17834405.581689905
2016-06-01 12:07:28-07:00,17843384.487048097
2016-06-01 12:07:29-07:00,17834611.060881887
2016-06-01 12:07:30-07:00,17823094.664040517
2016-06-01 12:07:31-07:00,17860148.449351016
2016-06-01 12:07:32-07:00,17867800.546008833
2016-06-01 12:07:33-07:00,17869228.794217117
2016-06-01 12:07:34-07:00,17863156.49500881
2016-06-01 12:07:35-07:00,17877672.200045295
2016-06-01 12:07:36-07:00,17876004.326123826
2016-06-01 12:07:37-07:00,17874401.433646027
2016-06-01 12:07:38-07:00,17876916.816098455
2016-06-01 12:07:39-07:00,17869405.358211122
2016-06-01 12:07:40-07:00,17874146.688318588
2016-06-01 12:07:41-07:00,17885454.327340838
2016-06-01 12:07:42-07:00,17887949.223054152
2016-06-01 12:07:43-07:00,17893771.50436722
2016-06-01 12:07:44-07:00,17899655.369261224
2016-06-01 12:07:45-07:00,17910447.105425272
2016-06-01 12:07:46-07:00,17899375.0526397
2016-06-01 12:07:47-07:00,17913177.665109992
2016-06-01 12:07:48-07:00,17922644.417170733
2016-06-01 12:07:49-07:00,17928325.187992122
2016-06-01 12:07:50-07:00,17921113.2112227
2016-06-01 12:07:51-07:00,17895299.27829815
2016-06-01 12:07:52-07:00,17892179.091750253
2016-06-01 12:07:53-07:00,17865227.17561718
2016-06-01 12:07:54-07:00,17886830.92520852
2016-06-01 12:07:55-07:00,17882180.62344525
2016-06-01 12:07:56-07:00,17890778.75558098
2016-06-01 12:07:57-07:00,17889341.730579082
2016-06-01 12:07:58-07:00,17894908.906249862
2016-06-01 12:07:59-07:00,17894247.063984156
2016-06-01 12:08:00-07:00,17888188.684535418
2016-06-01 12:08:01-07:00,17885635.303637337
2016-06-01 12:08:02-07:00,17897064.40489628
2016-06-01 12:08:03-07:00,17905615.216729358
2016-06-01 12:08:04-07:00,17902271.050131295
2016-06-01 12:08:05-07:00,17896853.827361006
2016-06-01 12:08:06-07:00,17893218.535221063
