,kW
tran_xf_701_882499_5022,4.743043994735043
tran_xf_701_882499_5024,4.547341880341881
tran_xf_701_882499_5025,4.933530194461538
tran_xf_701_882499_5032,4.743043994735043
tran_xf_701_882499_5034,4.547341880341881
tran_xf_701_882499_5035,4.933530194461538
tran_xf_701_882499_5042,4.743043994735043
tran_xf_701_882499_5044,4.547341880341881
tran_xf_701_882499_5045,4.933530194461538
tran_xf_701_1095507_5022,4.548008547008547
tran_xf_701_1095507_5024,4.955832283589744
tran_xf_701_1095507_5025,4.548008547008547
tran_xf_701_1095508_5022,4.548008547008547
tran_xf_701_1095508_5024,4.6470085470085465
tran_xf_701_1095508_5025,4.548008547008547
tran_xf_701_1095511_5022,4.548008547008547
tran_xf_701_1095511_5024,4.548008547008547
tran_xf_701_1095511_5025,4.548008547008547
tran_xf_701_1095513_5022,4.548008547008547
tran_xf_701_1095513_5024,4.548008547008547
tran_xf_701_1095513_5025,4.548008547008547
tran_xf_701_1095514_5022,4.548008547008547
tran_xf_701_1095514_5024,4.6470085470085465
tran_xf_701_1095514_5025,4.548008547008547
tran_dj_367162_1816_5022,4.547341880341881
tran_dj_367162_1816_5024,4.547341880341881
tran_dj_367162_1816_5025,4.547341880341881
tran_dj_367162_1816_5032,4.547341880341881
tran_dj_367162_1816_5034,4.547341880341881
tran_dj_367162_1816_5035,4.547341880341881
tran_dj_367162_1816_5042,4.547341880341881
tran_dj_367162_1816_5044,4.547341880341881
tran_dj_367162_1816_5045,4.547341880341881
tran_dj_373275_1816_5022,5.762269160786325
tran_dj_373275_1816_5024,27.23153986119658
tran_dj_373275_1816_5025,6.669467561538461
tran_dj_367164_1816_5022,4.547341880341881
tran_dj_367164_1816_5024,4.547341880341881
tran_dj_367164_1816_5025,4.547341880341881
tran_dj_367164_1816_5032,4.547341880341881
tran_dj_367164_1816_5034,4.547341880341881
tran_dj_367164_1816_5035,4.547341880341881
tran_dj_367164_1816_5042,4.547341880341881
tran_dj_367164_1816_5044,4.547341880341881
tran_dj_367164_1816_5045,4.547341880341881
tran_dj_373226_1816_5022,5.958803418803418
tran_dj_373226_1816_5024,28.599305732786327
tran_dj_373226_1816_5025,7.5603145597264945
tran_dj_373431_1816_5022,4.973444724376068
tran_dj_373431_1816_5024,24.21153986119658
